,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
0,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jharsa-gurgaon-900-sq-ft-spid-H81480335,"Bharat Residency
Jharsa, Gurgaon",70 Lac,1278.0,2 Bedrooms,2 Bathrooms,2 Balconies,Store Room,1 to 5 Year Old,Ground of 4 Floors,Semifurnished,,1 Open,"['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Spacious Interiors', 'Rain Water Harvesting']"
1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-481-sq-ft-spid-I81020045,"GLS Arawali Homes
Sohna, Gurgaon",38 Lac,682.3525999999999,2 Bedrooms,2 Bathrooms,2 Balconies,Others,1 to 5 Year Old,6th   of 13 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chd-avenue-71-sector-71-gurgaon-1198-sq-ft-spid-R80810191,"CHD Avenue 71
Sector 71, Gurgaon",1.35 Cr,1198.0,2 Bedrooms,2 Bathrooms,2 Balconies,,10+ Year Old,1st   of 14 Floors,Unfurnished,North,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
3,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-82-gurgaon-3240-sq-ft-spid-O81452033,"signature avenue
Sector 82, Gurgaon",3.4 Cr,360.0,4 Bedrooms,4 Bathrooms,2 Balconies,"Pooja Room,Servant Room",0 to 1 Year Old,4th   of 4 Floors,Furnished,North-East,2 Covered,"['Power Back-up', 'Lift(s)', 'Water purifier', 'Water Storage', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
4,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-845-sq-ft-spid-X81479167,"Signature Global Park
Sohna, Gurgaon",95 Lac,1065.0,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,1st   of 4 Floors,Semifurnished,,1 Covered,"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
5,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1196-sq-ft-spid-H81479107,"Smart World Gems
Sector 89, Gurgaon",1.26 Cr,1698.32,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,1st   of 4 Floors,Unfurnished,,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
7,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-582-sq-ft-spid-X81448305,"Pyramid Elite
Sector 86, Gurgaon",75 Lac,826.4399999999999,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,11st   of 14 Floors,Unfurnished,,,"['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Club house / Community Center']"
8,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rof-aalayas-sector-102-gurgaon-482-sq-ft-spid-Y81475319,"ROF Aalayas
Sector 102, Gurgaon",52 Lac,607.76,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,6th   of 14 Floors,Semifurnished,,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
9,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-spacio-sector-37d-gurgaon-1800-sq-ft-spid-C81474611,"BPTP Spacio
Sector 37D, Gurgaon",2 Cr,1800.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,1st   of 19 Floors,Semifurnished,,"1 Covered, 1 Open","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
10,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-mi-casa-sector-68-gurgaon-865-sq-ft-spid-L81474117,"Pareena Mi Casa
Sector 68, Gurgaon",99 Lac,865.0,2 Bedrooms,1 Bathroom,2 Balconies,,Within 3 months,23rd   of 25 Floors,Unfurnished,East,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
11,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-spa-next-sector-67-gurgaon-2010-sq-ft-spid-R81473683,"Bestech Park View Spa Next
Sector 67, Gurgaon",3.3 Cr,2010.0,3 Bedrooms,3 Bathrooms,3 Balconies,,5 to 10 Year Old,12nd   of 15 Floors,,,1 Covered,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
12,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-spa-next-sector-67-gurgaon-2010-sq-ft-spid-R81473107,"Bestech Park View Spa Next
Sector 67, Gurgaon",3.3 Cr,2854.2,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,5 to 10 Year Old,12nd   of 14 Floors,Semifurnished,,"1 Covered, 2 Open","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
14,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-viridian-the-plaza-106-sector-106-gurgaon-1125-sq-ft-spid-X81470339,"Viridian The Plaza 106
Sector 106, Gurgaon",1.15 Cr,1125.0,2 Bedrooms,2 Bathrooms,2 Balconies,,5 to 10 Year Old,4th   of 4 Floors,,,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
15,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-737-sq-ft-spid-O81469917,"HCBS Sports Ville
Sohna, Gurgaon",42 Lac,921.425,2 Bedrooms,2 Bathrooms,2 Balconies,,5 to 10 Year Old,8th   of 13 Floors,Unfurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']"
16,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-prime-sector-63a-gurgaon-577-sq-ft-r1-spid-T80912715,"Signature Global Prime
Sector 63A, Gurgaon",95 Lac,819.9221999999999,2 Bedrooms,2 Bathrooms,1 Balcony,,0 to 1 Year Old,18th   of 20 Floors,Unfurnished,,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']"
17,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-1093-sq-ft-r1-spid-H78330789,"Central Park Flower Valley
Sector-33 Sohna, Gurgaon",1.5 Cr,1093.0,3 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,2nd   of 2 Floors,Semifurnished,South-West,1 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
18,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orion-galaxy-sector-68-gurgaon-1441-sq-ft-spid-A81468259,"Orion Galaxy
Sector 68, Gurgaon",1.6 Cr,1441.0,2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,5 to 10 Year Old,3rd   of 14 Floors,,,,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
19,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-r1-spid-Q78781709,"Shree Vardhman Victoria
Sector 70, Gurgaon",2.75 Cr,2769.0,3 Bedrooms,5 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,12nd   of 13 Floors,Furnished,,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
20,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tulip-lemon-sector-69-gurgaon-526-sq-ft-r1-spid-Y78769435,"Tulip Lemon
Sector 69, Gurgaon",85 Lac,746.92,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,7th   of 11 Floors,Furnished,North-East,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
21,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1358-sq-ft-spid-Y81527763,"M3M Heights
Sector 65, Gurgaon",2.8 Cr,1928.36,3 Bedrooms,3 Bathrooms,No Balcony,,Under Construction,37th   of 47 Floors,Unfurnished,,,
22,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-sector-48-gurgaon-1813-sq-ft-r2-spid-K79888029,"Bestech Park View City
Sector 48, Gurgaon",3.25 Cr,2574.46,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,5 to 10 Year Old,13rd   of 14 Floors,Semifurnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
23,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-apex-our-homes-sector-37c-gurgaon-925-sq-ft-spid-R81372665,"Apex Our Homes
Sector 37C, Gurgaon",54 Lac,925.0,2 Bedrooms,2 Bathrooms,1 Balcony,Others,1 to 5 Year Old,11st   of 11 Floors,Semifurnished,East,"1 Covered, 1 Open","['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
24,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-apex-our-homes-sector-37c-gurgaon-925-sq-ft-spid-X81372771,"Apex Our Homes
Sector 37C, Gurgaon",55 Lac,925.0,2 Bedrooms,2 Bathrooms,1 Balcony,Others,1 to 5 Year Old,5th   of 11 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
25,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1210-sq-ft-spid-E80916433,"Signature Global Park
Sohna, Gurgaon",1.31 Cr,1512.5,3 Bedrooms,2 Bathrooms,3+ Balconies,,0 to 1 Year Old,4th   of 4 Floors,Unfurnished,North,1 Covered,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']"
26,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-the-millennia-sector-37d-gurgaon-800-sq-ft-spid-S81444655,"Signature Global the Millennia
Sector 37D, Gurgaon",70 Lac,737.2924,2 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,6th   of 23 Floors,Semifurnished,East,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM']"
27,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-signature-global-synera-sector-81-gurgaon-366-sq-ft-spid-U81442219,"Signature Global Synera
Sector 81, Gurgaon",39 Lac,366.0,1 Bedroom,1 Bathroom,2 Balconies,Others,1 to 5 Year Old,Ground of 4 Floors,Semifurnished,North-East,1 Open,"['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel']"
28,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sidhartha-ncr-greens-sector-95-gurgaon-1128-sq-ft-spid-D81369461,"Sidhartha NCR Greens
Sector 95, Gurgaon",70 Lac,1128.0,2 Bedrooms,2 Bathrooms,3+ Balconies,Pooja Room,1 to 5 Year Old,7th   of 21 Floors,Unfurnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
29,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-79b-sector-79-gurgaon-1530-sq-ft-spid-O81462339,"Signature Global City 79B
Sector 79, Gurgaon",1.6 Cr,2172.6,3 Bedrooms,3 Bathrooms,2 Balconies,Store Room,Jun 2026,3rd   of 4 Floors,Semifurnished,East,1 Covered,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']"
30,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-adani-aangan-sector-88a-gurgaon-900-sq-ft-spid-J81402601,"Adani Aangan
Sector 88A, Gurgaon",60 Lac,900.0,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,5th   of 14 Floors,Unfurnished,East,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
31,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-569-sq-ft-spid-X81459461,"Signature The Roselia
Sector 95A, Gurgaon",66.5 Lac,808.3208,2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,1 to 5 Year Old,11st   of 14 Floors,,North-East,1 Open,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking']"
32,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-royale-ville-sector-82-gurgaon-1790-sq-ft-spid-S81416351,"Mapsko Royale Ville
Sector 82, Gurgaon",1.95 Cr,1790.0,3 Bedrooms,3 Bathrooms,2 Balconies,Servant Room,5 to 10 Year Old,6th   of 14 Floors,Furnished,North-East,1 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
33,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-privvy-the-address-sector-93-gurgaon-1805-sq-ft-spid-E81459045,"Spaze Privvy The Address
Sector 93, Gurgaon",1.75 Cr,1805.0,3 Bedrooms,4 Bathrooms,2 Balconies,,5 to 10 Year Old,1st   of 19 Floors,Semifurnished,,1 Covered,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
34,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ardee-palm-grove-heights-ardee-city-gurgaon-1850-sq-ft-spid-P81434505,"Ardee Palm Grove Heights
Ardee City, Gurgaon",4.75 Cr,1850.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,10+ Year Old,14th   of 15 Floors,Semifurnished,,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
35,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-2355-sq-ft-spid-I81457971,"Paras Dews
Sector 106, Gurgaon",2.25 Cr,2355.0,4 Bedrooms,6 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,10th   of 24 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
36,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1120-sq-ft-spid-A81457583,"Smart World Orchard
Sector 61, Gurgaon",1.9 Cr,1590.4,2 Bedrooms,2 Bathrooms,2 Balconies,,Within 3 months,1st   of 4 Floors,,,1 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']"
37,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-vatsal-valley-gwal-pahari-gurgaon-1050-sq-ft-spid-O81457251,"Suncity Vatsal Valley
Gwal Pahari, Gurgaon",1.44 Cr,1491.0,2 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,2nd   of 4 Floors,,,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park']"
